block_date,total_eth_balance,number_of_addresses
2017-07-24,93524251.540701425,761758
2017-07-25,93548921.002318008,768720
2017-07-26,93573394.95519515,773783
2017-07-27,93597719.135857779,776506
2017-07-28,93622381.379883899,781950
2017-07-29,93646833.474656407,785226
2017-07-30,93671393.385532634,787862
2017-07-31,93695328.843033436,786083
2017-08-01,93716682.219679833,789218
2017-08-02,93737767.917493069,789725
2017-08-03,93758655.444399684,792645
2017-08-04,93779904.135627557,797330
2017-08-05,93801063.41916196,801221
2017-08-06,93822284.589319432,803179
2017-08-07,93843877.177965083,808665
2017-08-08,93865448.420323442,812021
2017-08-09,93887119.482834079,815336
2017-08-10,93908534.834826609,821339
2017-08-11,93930350.072548785,827070
2017-08-12,93952244.930836478,835200
2017-08-13,93974256.937621969,841242
2017-08-14,93996265.091117476,861602
2017-08-15,94018446.668539853,871572
2017-08-16,94040984.196783158,880239
2017-08-17,94063480.216636435,893166
2017-08-18,94085735.218741905,902237
2017-08-19,94108270.857296238,914763
2017-08-20,94130302.635702127,914001
2017-08-21,94153004.682469581,920310
2017-08-22,94175441.866324095,923557
2017-08-23,94197988.462864364,934215
2017-08-24,94220481.151399435,944634
2017-08-25,94239260.714808046,952820
2017-08-26,94257795.723983074,959689
2017-08-27,94276419.252940901,973218
2017-08-28,94294814.463422308,983555
2017-08-29,94313840.46220178,993733
2017-08-30,94332731.810687818,1008394
2017-08-31,94351436.933424757,1019679
2017-09-01,94370238.908444581,1031009
2017-09-02,94389053.330771598,1037771
2017-09-03,94407643.492391207,1044593
2017-09-04,94426537.0704383,1040578
2017-09-05,94445597.544636071,1048611
2017-09-06,94464430.163845889,1064536
